Treatment,Replica,FOV,Time,CellCount,CellArea,NucleusArea,mRNA_nucleus,mRNA_cytosol
Drug5_1000nM,rep2,FOV2,0,1,7498,6783,2.0,0.0
Drug5_1000nM,rep2,FOV2,0,2,7666,5791,2.0,0.0
Drug5_1000nM,rep2,FOV2,0,3,7343,2641,0.0,14.0
Drug5_1000nM,rep2,FOV2,0,4,8617,2841,0.0,0.0
Drug5_1000nM,rep2,FOV2,0,5,7910,6860,2.0,0.0
Drug5_1000nM,rep2,FOV2,0,6,7597,2696,0.0,15.0
Drug5_1000nM,rep2,FOV2,0,7,7079,2927,0.0,0.0
Drug5_1000nM,rep2,FOV2,0,8,7483,2546,2.0,0.0
Drug5_1000nM,rep2,FOV2,0,9,7131,2493,0.0,4.0
Drug5_1000nM,rep2,FOV2,0,10,8496,2745,0.0,8.0
Drug5_1000nM,rep2,FOV2,1,1,7510,6759,2.0,0.0
Drug5_1000nM,rep2,FOV2,1,2,7696,4331,2.0,0.0
Drug5_1000nM,rep2,FOV2,1,3,7373,2669,0.0,12.0
Drug5_1000nM,rep2,FOV2,1,4,8637,2812,0.0,1.0
Drug5_1000nM,rep2,FOV2,1,5,7936,7000,2.0,0.0
Drug5_1000nM,rep2,FOV2,1,6,7605,2672,0.0,9.0
Drug5_1000nM,rep2,FOV2,1,7,7258,2531,0.0,0.0
Drug5_1000nM,rep2,FOV2,1,8,7555,2635,2.0,0.0
Drug5_1000nM,rep2,FOV2,1,9,7153,2498,0.0,5.0
Drug5_1000nM,rep2,FOV2,1,10,8499,2787,0.0,13.0
Drug5_1000nM,rep2,FOV2,2,1,7552,6550,2.0,0.0
Drug5_1000nM,rep2,FOV2,2,2,7702,3828,2.0,0.0
Drug5_1000nM,rep2,FOV2,2,3,7368,2626,0.0,18.0
Drug5_1000nM,rep2,FOV2,2,4,8603,2812,0.0,0.0
Drug5_1000nM,rep2,FOV2,2,5,7886,6723,2.0,0.0
Drug5_1000nM,rep2,FOV2,2,6,7643,2758,0.0,15.0
Drug5_1000nM,rep2,FOV2,2,7,7098,2484,0.0,0.0
Drug5_1000nM,rep2,FOV2,2,8,7460,2578,0.0,7.0
Drug5_1000nM,rep2,FOV2,2,9,7220,2553,0.0,12.0
Drug5_1000nM,rep2,FOV2,2,10,8488,2731,0.0,14.0
Drug5_1000nM,rep2,FOV2,3,1,7520,6519,2.0,0.0
Drug5_1000nM,rep2,FOV2,3,2,7612,2768,1.0,1.0
Drug5_1000nM,rep2,FOV2,3,3,7335,2628,0.0,18.0
Drug5_1000nM,rep2,FOV2,3,4,8678,2814,0.0,0.0
Drug5_1000nM,rep2,FOV2,3,5,7850,5773,2.0,0.0
Drug5_1000nM,rep2,FOV2,3,6,7660,3440,2.0,0.0
Drug5_1000nM,rep2,FOV2,3,7,7043,2494,0.0,0.0
Drug5_1000nM,rep2,FOV2,3,8,7465,2529,0.0,9.0
Drug5_1000nM,rep2,FOV2,3,9,7227,2679,0.0,10.0
Drug5_1000nM,rep2,FOV2,3,10,8464,2728,0.0,11.0
Drug5_1000nM,rep2,FOV2,4,1,7486,6900,2.0,0.0
Drug5_1000nM,rep2,FOV2,4,2,7582,2635,0.0,12.0
Drug5_1000nM,rep2,FOV2,4,3,7348,2777,0.0,11.0
Drug5_1000nM,rep2,FOV2,4,4,8806,2851,0.0,6.0
Drug5_1000nM,rep2,FOV2,4,5,7841,3821,2.0,0.0
Drug5_1000nM,rep2,FOV2,4,6,7628,6793,2.0,0.0
Drug5_1000nM,rep2,FOV2,4,7,7336,2552,0.0,6.0
Drug5_1000nM,rep2,FOV2,4,8,7482,2476,0.0,10.0
Drug5_1000nM,rep2,FOV2,4,9,7231,2687,0.0,6.0
Drug5_1000nM,rep2,FOV2,4,10,8455,2719,0.0,18.0
Drug5_1000nM,rep2,FOV2,5,1,7418,6879,2.0,0.0
Drug5_1000nM,rep2,FOV2,5,2,7381,2856,0.0,12.0
Drug5_1000nM,rep2,FOV2,5,3,8820,2958,0.0,13.0
Drug5_1000nM,rep2,FOV2,5,4,7803,2941,0.0,4.0
Drug5_1000nM,rep2,FOV2,5,5,7695,7109,2.0,0.0
Drug5_1000nM,rep2,FOV2,5,6,7365,3096,2.0,0.0
Drug5_1000nM,rep2,FOV2,5,7,7392,2496,0.0,18.0
Drug5_1000nM,rep2,FOV2,5,8,7242,4532,1.0,0.0
Drug5_1000nM,rep2,FOV2,5,9,8512,2766,0.0,9.0
Drug5_1000nM,rep2,FOV2,6,1,7435,6788,2.0,0.0
Drug5_1000nM,rep2,FOV2,6,2,8816,2922,1.0,0.0
Drug5_1000nM,rep2,FOV2,6,3,7856,2516,0.0,11.0
Drug5_1000nM,rep2,FOV2,6,4,7655,6515,2.0,0.0
Drug5_1000nM,rep2,FOV2,6,5,7476,5411,2.0,0.0
Drug5_1000nM,rep2,FOV2,6,6,7443,2482,0.0,12.0
Drug5_1000nM,rep2,FOV2,6,7,7296,4681,2.0,0.0
Drug5_1000nM,rep2,FOV2,6,8,8492,2803,0.0,10.0
Drug5_1000nM,rep2,FOV2,7,1,7456,6631,2.0,0.0
Drug5_1000nM,rep2,FOV2,7,2,8876,3592,2.0,0.0
Drug5_1000nM,rep2,FOV2,7,3,7801,2544,0.0,11.0
Drug5_1000nM,rep2,FOV2,7,4,7720,6551,2.0,0.0
Drug5_1000nM,rep2,FOV2,7,5,7512,5378,2.0,0.0
Drug5_1000nM,rep2,FOV2,7,6,7462,2535,2.0,0.0
Drug5_1000nM,rep2,FOV2,7,7,7301,4884,2.0,0.0
Drug5_1000nM,rep2,FOV2,8,1,7439,6287,2.0,0.0
Drug5_1000nM,rep2,FOV2,8,2,8913,4252,2.0,0.0
Drug5_1000nM,rep2,FOV2,8,3,7793,2551,0.0,8.0
Drug5_1000nM,rep2,FOV2,8,4,7699,4835,2.0,0.0
Drug5_1000nM,rep2,FOV2,8,5,7558,4500,2.0,0.0
Drug5_1000nM,rep2,FOV2,8,6,7365,5765,2.0,0.0
Drug5_1000nM,rep2,FOV2,9,1,7400,3852,1.0,4.0
Drug5_1000nM,rep2,FOV2,9,2,8986,3928,1.0,1.0
Drug5_1000nM,rep2,FOV2,9,3,7786,2560,0.0,1.0
Drug5_1000nM,rep2,FOV2,9,4,7696,3396,2.0,0.0
Drug5_1000nM,rep2,FOV2,9,5,7352,5633,2.0,0.0
Drug5_1000nM,rep2,FOV2,10,1,8944,3990,0.0,6.0
Drug5_1000nM,rep2,FOV2,10,2,7823,2504,0.0,0.0
Drug5_1000nM,rep2,FOV2,10,3,7692,2853,0.0,17.0
Drug5_1000nM,rep2,FOV2,10,4,7437,6697,2.0,0.0
Drug5_1000nM,rep2,FOV2,11,1,8952,5204,2.0,1.0
Drug5_1000nM,rep2,FOV2,11,2,7758,2516,0.0,0.0
Drug5_1000nM,rep2,FOV2,11,3,7650,2667,0.0,7.0
Drug5_1000nM,rep2,FOV2,11,4,7439,6292,2.0,0.0
Drug5_1000nM,rep2,FOV2,12,1,8964,5883,2.0,1.0
Drug5_1000nM,rep2,FOV2,12,2,7849,2512,0.0,0.0
Drug5_1000nM,rep2,FOV2,12,3,7520,2651,0.0,0.0
Drug5_1000nM,rep2,FOV2,12,4,7398,5179,2.0,0.0
