Treatment,Replica,FOV,Time,CellCount,CellArea,NucleusArea,mRNA_nucleus,mRNA_cytosol
Drug10_1000nM,rep1,FOV1,0,1,6869,3099,0.0,6.0
Drug10_1000nM,rep1,FOV1,0,2,6823,5127,2.0,0.0
Drug10_1000nM,rep1,FOV1,0,3,6685,2889,0.0,0.0
Drug10_1000nM,rep1,FOV1,0,4,6552,2924,0.0,0.0
Drug10_1000nM,rep1,FOV1,0,5,7704,3525,1.0,2.0
Drug10_1000nM,rep1,FOV1,0,6,3466,2888,0.0,0.0
Drug10_1000nM,rep1,FOV1,0,7,6988,2809,0.0,8.0
Drug10_1000nM,rep1,FOV1,0,8,7023,3234,0.0,13.0
Drug10_1000nM,rep1,FOV1,0,9,7129,2946,0.0,1.0
Drug10_1000nM,rep1,FOV1,0,10,7984,3051,0.0,13.0
Drug10_1000nM,rep1,FOV1,0,11,4606,2860,0.0,0.0
Drug10_1000nM,rep1,FOV1,0,12,6906,2907,0.0,0.0
Drug10_1000nM,rep1,FOV1,1,1,6822,3005,0.0,10.0
Drug10_1000nM,rep1,FOV1,1,2,6756,5658,2.0,0.0
Drug10_1000nM,rep1,FOV1,1,3,6553,2918,0.0,0.0
Drug10_1000nM,rep1,FOV1,1,4,6215,4055,0.0,0.0
Drug10_1000nM,rep1,FOV1,1,5,7687,2955,1.0,1.0
Drug10_1000nM,rep1,FOV1,1,6,3346,2965,0.0,0.0
Drug10_1000nM,rep1,FOV1,1,7,7028,2791,0.0,9.0
Drug10_1000nM,rep1,FOV1,1,8,6999,3373,1.0,2.0
Drug10_1000nM,rep1,FOV1,1,9,7255,3070,0.0,10.0
Drug10_1000nM,rep1,FOV1,1,10,7960,3094,0.0,13.0
Drug10_1000nM,rep1,FOV1,1,11,4467,2786,0.0,0.0
Drug10_1000nM,rep1,FOV1,1,12,6962,2905,0.0,1.0
Drug10_1000nM,rep1,FOV1,2,1,6862,3079,0.0,7.0
Drug10_1000nM,rep1,FOV1,2,2,6793,5874,2.0,0.0
Drug10_1000nM,rep1,FOV1,2,3,6592,2856,0.0,0.0
Drug10_1000nM,rep1,FOV1,2,4,6542,4248,0.0,0.0
Drug10_1000nM,rep1,FOV1,2,5,7715,2923,2.0,0.0
Drug10_1000nM,rep1,FOV1,2,6,3592,2777,0.0,0.0
Drug10_1000nM,rep1,FOV1,2,7,7066,2770,0.0,12.0
Drug10_1000nM,rep1,FOV1,2,8,6983,3111,1.0,4.0
Drug10_1000nM,rep1,FOV1,2,9,7282,3050,0.0,16.0
Drug10_1000nM,rep1,FOV1,2,10,7903,3015,0.0,8.0
Drug10_1000nM,rep1,FOV1,2,11,3806,2959,0.0,0.0
Drug10_1000nM,rep1,FOV1,2,12,7023,3084,0.0,15.0
Drug10_1000nM,rep1,FOV1,3,1,6814,3219,0.0,10.0
Drug10_1000nM,rep1,FOV1,3,2,6773,5065,2.0,0.0
Drug10_1000nM,rep1,FOV1,3,3,6565,2937,0.0,0.0
Drug10_1000nM,rep1,FOV1,3,4,6452,4939,0.0,0.0
Drug10_1000nM,rep1,FOV1,3,5,7775,2939,2.0,0.0
Drug10_1000nM,rep1,FOV1,3,6,4517,2969,0.0,0.0
Drug10_1000nM,rep1,FOV1,3,7,7048,2827,0.0,13.0
Drug10_1000nM,rep1,FOV1,3,8,6994,3034,0.0,13.0
Drug10_1000nM,rep1,FOV1,3,9,7248,3204,0.0,14.0
Drug10_1000nM,rep1,FOV1,3,10,7927,3067,0.0,6.0
Drug10_1000nM,rep1,FOV1,3,11,3705,2998,0.0,0.0
Drug10_1000nM,rep1,FOV1,3,12,7001,3589,1.0,11.0
Drug10_1000nM,rep1,FOV1,4,1,6874,3264,1.0,2.0
Drug10_1000nM,rep1,FOV1,4,2,6756,4997,2.0,0.0
Drug10_1000nM,rep1,FOV1,4,3,6626,2915,0.0,0.0
Drug10_1000nM,rep1,FOV1,4,4,6451,5118,0.0,0.0
Drug10_1000nM,rep1,FOV1,4,5,7725,2950,2.0,0.0
Drug10_1000nM,rep1,FOV1,4,6,3283,2923,0.0,0.0
Drug10_1000nM,rep1,FOV1,4,7,7019,2850,0.0,10.0
Drug10_1000nM,rep1,FOV1,4,8,6986,3053,0.0,9.0
Drug10_1000nM,rep1,FOV1,4,9,7289,3159,0.0,16.0
Drug10_1000nM,rep1,FOV1,4,10,7873,3084,0.0,6.0
Drug10_1000nM,rep1,FOV1,4,11,3723,2882,0.0,0.0
Drug10_1000nM,rep1,FOV1,4,12,6990,3644,0.0,9.0
Drug10_1000nM,rep1,FOV1,5,1,6748,2771,0.0,0.0
Drug10_1000nM,rep1,FOV1,5,2,6500,2657,0.0,0.0
Drug10_1000nM,rep1,FOV1,5,3,6951,2847,0.0,0.0
Drug10_1000nM,rep1,FOV1,5,4,6600,2869,0.0,0.0
Drug10_1000nM,rep1,FOV1,5,5,7663,3015,0.0,3.0
Drug10_1000nM,rep1,FOV1,5,6,4560,2869,0.0,0.0
Drug10_1000nM,rep1,FOV1,5,7,7147,2702,0.0,0.0
Drug10_1000nM,rep1,FOV1,5,8,6967,2771,0.0,0.0
Drug10_1000nM,rep1,FOV1,5,9,7276,2964,0.0,0.0
Drug10_1000nM,rep1,FOV1,5,10,7946,2992,0.0,0.0
Drug10_1000nM,rep1,FOV1,5,11,6900,2742,0.0,0.0
Drug10_1000nM,rep1,FOV1,6,1,6793,2772,0.0,0.0
Drug10_1000nM,rep1,FOV1,6,2,6476,2671,0.0,0.0
Drug10_1000nM,rep1,FOV1,6,3,6956,2877,0.0,0.0
Drug10_1000nM,rep1,FOV1,6,4,6671,2952,0.0,0.0
Drug10_1000nM,rep1,FOV1,6,5,7618,2969,0.0,0.0
Drug10_1000nM,rep1,FOV1,6,6,4518,2864,0.0,0.0
Drug10_1000nM,rep1,FOV1,6,7,6983,2748,0.0,0.0
Drug10_1000nM,rep1,FOV1,6,8,6794,2746,0.0,0.0
Drug10_1000nM,rep1,FOV1,6,9,7186,2983,0.0,0.0
Drug10_1000nM,rep1,FOV1,6,10,7968,2990,0.0,0.0
Drug10_1000nM,rep1,FOV1,6,11,6987,2798,0.0,0.0
Drug10_1000nM,rep1,FOV1,7,1,6630,2761,0.0,0.0
Drug10_1000nM,rep1,FOV1,7,2,6600,2717,0.0,0.0
Drug10_1000nM,rep1,FOV1,7,3,6833,2855,0.0,0.0
Drug10_1000nM,rep1,FOV1,7,4,6912,2898,0.0,0.0
Drug10_1000nM,rep1,FOV1,7,5,7657,2986,0.0,0.0
Drug10_1000nM,rep1,FOV1,7,6,3882,2908,0.0,0.0
Drug10_1000nM,rep1,FOV1,7,7,6948,2682,0.0,1.0
Drug10_1000nM,rep1,FOV1,7,8,6853,2767,0.0,0.0
Drug10_1000nM,rep1,FOV1,7,9,7206,2948,0.0,0.0
Drug10_1000nM,rep1,FOV1,7,10,7980,3007,0.0,0.0
Drug10_1000nM,rep1,FOV1,7,11,7042,2801,0.0,5.0
Drug10_1000nM,rep1,FOV1,8,1,6612,2736,0.0,0.0
Drug10_1000nM,rep1,FOV1,8,2,6308,2673,0.0,0.0
Drug10_1000nM,rep1,FOV1,8,3,6957,2865,0.0,0.0
Drug10_1000nM,rep1,FOV1,8,4,6880,2917,0.0,0.0
Drug10_1000nM,rep1,FOV1,8,5,7635,2993,0.0,0.0
Drug10_1000nM,rep1,FOV1,8,6,6923,2696,0.0,0.0
Drug10_1000nM,rep1,FOV1,8,7,6897,2744,0.0,0.0
Drug10_1000nM,rep1,FOV1,8,8,7168,2930,0.0,0.0
Drug10_1000nM,rep1,FOV1,8,9,8039,2952,0.0,1.0
Drug10_1000nM,rep1,FOV1,8,10,7084,2833,0.0,5.0
Drug10_1000nM,rep1,FOV1,9,1,6406,2778,0.0,0.0
Drug10_1000nM,rep1,FOV1,9,2,6226,2711,0.0,0.0
Drug10_1000nM,rep1,FOV1,9,3,7035,2844,0.0,0.0
Drug10_1000nM,rep1,FOV1,9,4,6868,2880,0.0,0.0
Drug10_1000nM,rep1,FOV1,9,5,7675,3015,0.0,1.0
Drug10_1000nM,rep1,FOV1,9,6,6738,2691,0.0,0.0
Drug10_1000nM,rep1,FOV1,9,7,6827,2727,0.0,0.0
Drug10_1000nM,rep1,FOV1,9,8,7212,2959,0.0,0.0
Drug10_1000nM,rep1,FOV1,9,9,8002,3004,0.0,0.0
Drug10_1000nM,rep1,FOV1,9,10,7060,2845,0.0,7.0
Drug10_1000nM,rep1,FOV1,10,1,6643,2772,0.0,0.0
Drug10_1000nM,rep1,FOV1,10,2,6454,2687,0.0,0.0
Drug10_1000nM,rep1,FOV1,10,3,7057,2841,0.0,0.0
Drug10_1000nM,rep1,FOV1,10,4,6890,2885,0.0,0.0
Drug10_1000nM,rep1,FOV1,10,5,7719,3021,0.0,0.0
Drug10_1000nM,rep1,FOV1,10,6,6985,2688,0.0,0.0
