Treatment,Replica,FOV,Time,CellCount,CellArea,NucleusArea,mRNA_nucleus,mRNA_cytosol
Drug8_1000nM,rep2,FOV1,2,7,7029,2008,0.0,0.0
Drug8_1000nM,rep2,FOV1,2,8,6793,2700,2.0,0.0
Drug8_1000nM,rep2,FOV1,2,9,4951,2666,0.0,0.0
Drug8_1000nM,rep2,FOV1,2,10,7195,2111,1.0,0.0
Drug8_1000nM,rep2,FOV1,2,11,3361,2461,0.0,0.0
Drug8_1000nM,rep2,FOV1,2,12,7338,2732,0.0,11.0
Drug8_1000nM,rep2,FOV1,2,13,6354,2785,0.0,0.0
Drug8_1000nM,rep2,FOV1,2,14,8163,0,0.0,10.0
Drug8_1000nM,rep2,FOV1,3,1,7716,2458,0.0,13.0
Drug8_1000nM,rep2,FOV1,3,2,7874,2777,0.0,1.0
Drug8_1000nM,rep2,FOV1,3,3,4516,2362,0.0,0.0
Drug8_1000nM,rep2,FOV1,3,4,4783,2676,0.0,0.0
Drug8_1000nM,rep2,FOV1,3,5,7590,2761,1.0,0.0
Drug8_1000nM,rep2,FOV1,3,6,7649,2480,0.0,14.0
Drug8_1000nM,rep2,FOV1,3,7,7018,2237,0.0,1.0
Drug8_1000nM,rep2,FOV1,3,8,6800,2667,1.0,1.0
Drug8_1000nM,rep2,FOV1,3,9,3091,2671,0.0,0.0
Drug8_1000nM,rep2,FOV1,3,10,7218,2374,1.0,2.0
Drug8_1000nM,rep2,FOV1,3,11,3969,2502,0.0,0.0
Drug8_1000nM,rep2,FOV1,3,12,7339,2781,0.0,10.0
Drug8_1000nM,rep2,FOV1,3,13,6166,2820,0.0,0.0
Drug8_1000nM,rep2,FOV1,3,14,8089,0,0.0,7.0
Drug8_1000nM,rep2,FOV1,4,1,7743,2443,1.0,2.0
Drug8_1000nM,rep2,FOV1,4,2,7893,2749,0.0,3.0
Drug8_1000nM,rep2,FOV1,4,3,2937,2189,0.0,0.0
Drug8_1000nM,rep2,FOV1,4,4,3740,2131,0.0,0.0
Drug8_1000nM,rep2,FOV1,4,5,7669,2711,1.0,0.0
Drug8_1000nM,rep2,FOV1,4,6,7656,2713,0.0,6.0
Drug8_1000nM,rep2,FOV1,4,7,7092,2513,0.0,0.0
Drug8_1000nM,rep2,FOV1,4,8,6795,1541,1.0,0.0
Drug8_1000nM,rep2,FOV1,4,9,5600,2686,0.0,0.0
Drug8_1000nM,rep2,FOV1,4,10,7228,2642,1.0,0.0
Drug8_1000nM,rep2,FOV1,4,11,4663,2372,0.0,0.0
Drug8_1000nM,rep2,FOV1,4,12,7320,2459,0.0,12.0
Drug8_1000nM,rep2,FOV1,4,13,6673,2794,0.0,1.0
Drug8_1000nM,rep2,FOV1,4,14,8164,2813,0.0,16.0
Drug8_1000nM,rep2,FOV1,5,1,7787,2462,2.0,0.0
Drug8_1000nM,rep2,FOV1,5,2,7807,2749,0.0,1.0
Drug8_1000nM,rep2,FOV1,5,3,7657,2691,2.0,0.0
Drug8_1000nM,rep2,FOV1,5,4,7528,2686,0.0,1.0
Drug8_1000nM,rep2,FOV1,5,5,6973,2517,0.0,2.0
Drug8_1000nM,rep2,FOV1,5,6,6796,2776,2.0,0.0
Drug8_1000nM,rep2,FOV1,5,7,7163,2688,2.0,0.0
Drug8_1000nM,rep2,FOV1,5,8,7299,2460,0.0,7.0
Drug8_1000nM,rep2,FOV1,5,9,6708,2788,0.0,6.0
Drug8_1000nM,rep2,FOV1,5,10,8073,2778,0.0,14.0
Drug8_1000nM,rep2,FOV1,6,1,7798,2525,2.0,0.0
Drug8_1000nM,rep2,FOV1,6,2,7726,2717,0.0,0.0
