Treatment,Replica,FOV,Time,CellCount,CellArea,NucleusArea,mRNA_nucleus,mRNA_cytosol
NoDrug,rep1,FOV1,0,1,7473,2754,0.0,9.0
NoDrug,rep1,FOV1,0,2,8138,2851,0.0,0.0
NoDrug,rep1,FOV1,0,3,8266,5069,2.0,0.0
NoDrug,rep1,FOV1,0,4,7905,3203,0.0,17.0
NoDrug,rep1,FOV1,0,5,7696,3087,1.0,0.0
NoDrug,rep1,FOV1,0,6,8427,3310,2.0,0.0
NoDrug,rep1,FOV1,0,7,7460,2595,0.0,0.0
NoDrug,rep1,FOV1,0,8,7625,2739,0.0,13.0
NoDrug,rep1,FOV1,0,9,6983,3068,0.0,7.0
NoDrug,rep1,FOV1,0,10,8388,6974,2.0,0.0
NoDrug,rep1,FOV1,0,11,7088,2900,0.0,8.0
NoDrug,rep1,FOV1,0,12,8151,2693,0.0,0.0
NoDrug,rep1,FOV1,0,13,7260,2703,0.0,0.0
NoDrug,rep1,FOV1,1,1,7439,2811,0.0,9.0
NoDrug,rep1,FOV1,1,2,8157,2883,0.0,0.0
NoDrug,rep1,FOV1,1,3,8295,5818,2.0,0.0
NoDrug,rep1,FOV1,1,4,7922,3153,0.0,16.0
NoDrug,rep1,FOV1,1,5,7695,2838,1.0,2.0
NoDrug,rep1,FOV1,1,6,8410,3262,2.0,0.0
NoDrug,rep1,FOV1,1,7,7490,2722,0.0,0.0
NoDrug,rep1,FOV1,1,8,7579,2659,0.0,2.0
NoDrug,rep1,FOV1,1,9,6954,3049,0.0,3.0
NoDrug,rep1,FOV1,1,10,8444,7332,2.0,0.0
NoDrug,rep1,FOV1,1,11,7070,2844,0.0,17.0
NoDrug,rep1,FOV1,1,12,8131,2706,0.0,0.0
NoDrug,rep1,FOV1,1,13,7379,2750,0.0,0.0
NoDrug,rep1,FOV1,2,1,7436,2752,0.0,14.0
NoDrug,rep1,FOV1,2,2,8184,2856,0.0,0.0
NoDrug,rep1,FOV1,2,3,8305,6159,2.0,0.0
NoDrug,rep1,FOV1,2,4,7860,3188,0.0,7.0
NoDrug,rep1,FOV1,2,5,7605,2875,0.0,12.0
NoDrug,rep1,FOV1,2,6,8325,3144,2.0,0.0
NoDrug,rep1,FOV1,2,7,7616,2683,0.0,1.0
NoDrug,rep1,FOV1,2,8,7598,2722,0.0,5.0
NoDrug,rep1,FOV1,2,9,6839,2978,0.0,1.0
NoDrug,rep1,FOV1,2,10,8413,7353,2.0,0.0
NoDrug,rep1,FOV1,2,11,7074,2854,0.0,12.0
NoDrug,rep1,FOV1,2,12,8140,2678,0.0,0.0
NoDrug,rep1,FOV1,2,13,7592,2767,0.0,2.0
NoDrug,rep1,FOV1,3,1,7568,2807,0.0,12.0
NoDrug,rep1,FOV1,3,2,7971,2844,0.0,0.0
NoDrug,rep1,FOV1,3,3,8267,5245,2.0,0.0
NoDrug,rep1,FOV1,3,4,7835,3130,0.0,5.0
NoDrug,rep1,FOV1,3,5,7632,2689,0.0,11.0
NoDrug,rep1,FOV1,3,6,8329,3092,1.0,2.0
NoDrug,rep1,FOV1,3,7,7684,2703,0.0,7.0
NoDrug,rep1,FOV1,3,8,7722,3468,1.0,9.0
NoDrug,rep1,FOV1,3,9,6868,2948,0.0,0.0
NoDrug,rep1,FOV1,3,10,8357,7349,2.0,0.0
NoDrug,rep1,FOV1,3,11,7084,2760,0.0,7.0
NoDrug,rep1,FOV1,3,12,8073,2697,0.0,0.0
NoDrug,rep1,FOV1,3,13,7661,2716,0.0,4.0
NoDrug,rep1,FOV1,4,1,7515,2791,2.0,0.0
NoDrug,rep1,FOV1,4,2,8194,2809,0.0,0.0
NoDrug,rep1,FOV1,4,3,8232,4600,2.0,0.0
NoDrug,rep1,FOV1,4,4,7875,3041,0.0,3.0
NoDrug,rep1,FOV1,4,5,7662,2685,0.0,10.0
NoDrug,rep1,FOV1,4,6,8378,3214,1.0,0.0
NoDrug,rep1,FOV1,4,7,7755,2743,0.0,10.0
NoDrug,rep1,FOV1,4,8,7731,4668,2.0,0.0
NoDrug,rep1,FOV1,4,9,6611,2933,0.0,0.0
NoDrug,rep1,FOV1,4,10,8373,5567,2.0,0.0
NoDrug,rep1,FOV1,4,11,7019,2740,0.0,1.0
NoDrug,rep1,FOV1,4,12,7994,2692,0.0,0.0
NoDrug,rep1,FOV1,4,13,7647,2751,0.0,3.0
NoDrug,rep1,FOV1,5,1,7576,2949,2.0,0.0
NoDrug,rep1,FOV1,5,2,8215,2832,0.0,0.0
NoDrug,rep1,FOV1,5,3,8260,4365,2.0,0.0
NoDrug,rep1,FOV1,5,4,7828,3116,0.0,7.0
NoDrug,rep1,FOV1,5,5,7595,2647,0.0,7.0
NoDrug,rep1,FOV1,5,6,8383,3203,2.0,0.0
NoDrug,rep1,FOV1,5,7,7637,2590,0.0,18.0
NoDrug,rep1,FOV1,5,8,7740,4302,2.0,0.0
NoDrug,rep1,FOV1,5,9,6604,2989,0.0,0.0
NoDrug,rep1,FOV1,5,10,8388,7344,2.0,0.0
NoDrug,rep1,FOV1,5,11,7044,2766,0.0,8.0
NoDrug,rep1,FOV1,5,12,8055,2686,0.0,0.0
NoDrug,rep1,FOV1,5,13,7571,2718,0.0,5.0
NoDrug,rep1,FOV1,6,1,7625,3424,2.0,0.0
NoDrug,rep1,FOV1,6,2,8375,2882,0.0,2.0
NoDrug,rep1,FOV1,6,3,8257,4381,2.0,0.0
NoDrug,rep1,FOV1,6,4,7865,3174,0.0,20.0
NoDrug,rep1,FOV1,6,5,7606,2685,0.0,10.0
NoDrug,rep1,FOV1,6,6,8367,3274,1.0,2.0
NoDrug,rep1,FOV1,6,7,7702,2736,0.0,6.0
NoDrug,rep1,FOV1,6,8,7721,4044,1.0,2.0
NoDrug,rep1,FOV1,6,9,6672,2996,0.0,0.0
NoDrug,rep1,FOV1,6,10,8395,6444,2.0,0.0
NoDrug,rep1,FOV1,6,11,7112,2922,0.0,14.0
NoDrug,rep1,FOV1,6,12,7905,2695,0.0,0.0
NoDrug,rep1,FOV1,6,13,7619,2793,0.0,12.0
NoDrug,rep1,FOV1,7,1,7618,4976,2.0,0.0
NoDrug,rep1,FOV1,7,2,8423,2886,0.0,6.0
NoDrug,rep1,FOV1,7,3,8219,4225,2.0,0.0
NoDrug,rep1,FOV1,7,4,7846,3190,0.0,16.0
NoDrug,rep1,FOV1,7,5,7636,2748,0.0,10.0
NoDrug,rep1,FOV1,7,6,8329,3146,0.0,8.0
NoDrug,rep1,FOV1,7,7,7614,2665,0.0,0.0
NoDrug,rep1,FOV1,7,8,7719,3782,2.0,0.0
NoDrug,rep1,FOV1,7,9,6860,2995,0.0,0.0
NoDrug,rep1,FOV1,7,10,8440,7175,2.0,0.0
NoDrug,rep1,FOV1,7,11,7119,2927,1.0,0.0
NoDrug,rep1,FOV1,7,12,7876,2720,0.0,0.0
NoDrug,rep1,FOV1,7,13,7641,2700,0.0,5.0
NoDrug,rep1,FOV1,8,1,7668,5596,2.0,0.0
NoDrug,rep1,FOV1,8,2,8331,2863,0.0,3.0
NoDrug,rep1,FOV1,8,3,8247,3804,2.0,0.0
NoDrug,rep1,FOV1,8,4,7863,3235,0.0,14.0
NoDrug,rep1,FOV1,8,5,7528,2660,0.0,4.0
NoDrug,rep1,FOV1,8,6,8322,3058,0.0,20.0
NoDrug,rep1,FOV1,8,7,7517,2708,0.0,0.0
NoDrug,rep1,FOV1,8,8,7746,3897,1.0,1.0
NoDrug,rep1,FOV1,8,9,7070,3065,0.0,15.0
NoDrug,rep1,FOV1,8,10,8419,6384,2.0,0.0
NoDrug,rep1,FOV1,8,11,7156,2992,1.0,2.0
NoDrug,rep1,FOV1,8,12,7624,2704,0.0,0.0
NoDrug,rep1,FOV1,8,13,7553,2752,0.0,3.0
NoDrug,rep1,FOV1,9,1,7620,4903,2.0,0.0
NoDrug,rep1,FOV1,9,2,8289,2842,0.0,1.0
NoDrug,rep1,FOV1,9,3,8265,4008,1.0,0.0
NoDrug,rep1,FOV1,9,4,7924,3220,0.0,11.0
NoDrug,rep1,FOV1,9,5,7520,2705,0.0,0.0
NoDrug,rep1,FOV1,9,6,8271,2948,0.0,7.0
NoDrug,rep1,FOV1,9,7,7490,2634,0.0,0.0
NoDrug,rep1,FOV1,9,8,7733,4687,2.0,0.0
NoDrug,rep1,FOV1,9,9,7176,3858,2.0,0.0
NoDrug,rep1,FOV1,9,10,8387,5354,2.0,0.0
NoDrug,rep1,FOV1,9,11,7143,2979,1.0,0.0
